,No,측정시간,수소이온농도,col_3,용존산소,col_5,전기전도도,col_7,수온,col_9,탁도,col_11,총유기탄소,col_13,클로로필-a,col_15,남조류,col_17,독성지수[좌],col_19,유영속도[좌],col_21,개체수[좌],col_23,유영속도 분포지수 [좌],col_25,프렉탈 차수[좌],col_27,시료온도,col_29,독성지수[우],col_31,유영속도[우],col_33,개체수[우],col_35,유영속도 분포지수[우],col_37,프렉탈 차수[우],col_39,시료온도[우],col_41,디클로로메탄,col_43,1.1.1-트리클로로에테인,col_45,사염화탄소,col_47,벤젠,col_49,트리클로로에틸렌,col_51,톨루엔,col_53,테트라클로로에틸렌,col_55,에틸벤젠,col_57,"m,p-자일렌",col_59,o-자일렌,col_61,[ECD]디클로로메탄,col_63,[ECD]1.1.1-트리클로로에테인,col_65,[ECD]사염화탄소,col_67,[ECD]트리클로로에틸렌,col_69,[ECD]테트라클로로에틸렌,col_71,강수량,col_73,기상_지점,기상_기온(°C),기상_강수량(mm),기상_강수량(일누적),기상_풍속(m/s),기상_풍향(16방위),기상_습도(%),기상_증기압(hPa),기상_이슬점온도(°C),기상_현지기압(hPa),기상_해면기압(hPa),기상_일조(hr),기상_일조(누적),기상_일사(MJ/m2),기상_일사(누적),기상_적설(cm),기상_3시간신적설(cm),기상_전운량(10분위),기상_중하층운량(10분위),기상_운형(운형약어),기상_최저운고(100m ),기상_시정(10m),기상_지면상태(지면상태코드),기상_현상번호(국내식),기상_지면온도(°C),기상_5cm 지중온도(°C),기상_10cm 지중온도(°C),기상_20cm 지중온도(°C),기상_30cm 지중온도(°C)
0,1,2024-11-01T00:00:00.000,6.5,,8.4,,358,,20.9,,14.1,,3.8,,5.8,,2.9,,0,,0.5,,13.3,,9.5,,1.2,,0,,8.6,,0.4,,8,,6.7,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,15.7,,0,0.1,0,81,14.4,12.4,1014.1,1022.5,,0,,0,,,9,9,,,2314,,,14.1,,,,
1,2,2024-11-01T01:00:00.000,6.5,,8.2,,359,,20.8,,11.1,,3.7,,5.3,,2.7,,0,,0.5,,13.1,,6.6,,1.2,,0,,7,,0.4,,8.1,,11.9,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,15.5,,0,0.4,0,82,14.4,12.4,1014.1,1022.5,,0,,0,,,10,7,,27,2071,,,14.7,,,,
2,3,2024-11-01T02:00:00.000,6.5,,7.9,,360,,20.7,,10.5,,3.8,,5.1,,2.7,,0,,0.5,,13.2,,6.9,,1.2,,0,,4.1,,0.4,,8.1,,7.1,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,15.7,,0,0.5,290,80,14.2,12.2,1014.2,1022.6,,0,,0,,,10,9,,28,1868,,,15.2,,,,
3,4,2024-11-01T03:00:00.000,6.6,,7.6,,362,,20.5,,10.6,,3.9,,5,,2.6,,0,,0.4,,13.3,,7.6,,1.2,,0,,1.9,,0.4,,7.7,,4,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,15.5,0,0,1.2,50,82,14.4,12.4,1013.5,1021.9,,0,,0,,,10,4,StNs,8,1642,,1,15.5,,,,
4,5,2024-11-01T04:00:00.000,6.6,,7.5,,362,,20.3,,9.5,,3.9,,4.8,,2.4,,0,,0.4,,13.2,,8.5,,1.2,,0,,0.6,,0.4,,7.8,,2.2,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,14.6,,0,1.3,50,92,15.3,13.3,1012.2,1020.6,,0,,0,,,10,5,StNs,9,857,,1,15.4,,,,
5,6,2024-11-01T05:00:00.000,6.6,,7.4,,364,,20.2,,9.3,,3.9,,4.7,,2.3,,0,,0.4,,13.8,,6,,1.2,,0,,0,,0.5,,7.5,,2.9,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,14.9,,0,0.4,0,93,15.7,13.7,1012.6,1021,,0,,0,,,10,2,StNs,9,523,,1,15.6,,,,
6,7,2024-11-01T06:00:00.000,6.6,,7.3,,366,,20.1,,9,,3.7,,4.7,,2.2,,0,,0.5,,13.7,,5.9,,1.2,,0,,0,,0.5,,7.2,,5.2,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,14.6,3.3,3.3,1,50,94,15.6,13.6,1011.7,1020.1,,0,,0,,,10,4,StNs,8,507,,1,15.5,,,,
7,8,2024-11-01T07:00:00.000,6.6,,7.2,,367,,20,,9.6,,3.6,,4.8,,2.2,,0,,0.5,,13.4,,5.5,,1.2,,0,,0,,0.5,,7,,4.4,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,14.5,,3.3,0.3,0,94,15.5,13.5,1012.5,1020.9,0,0.5,0.06,1.33,,,10,5,ScAs,10,499,,1901,15.5,,,,
8,9,2024-11-01T08:00:00.000,6.6,,7.2,,368,,19.9,,8.1,,3.7,,5.1,,2.4,,0,,0.5,,13.5,,6.1,,1.2,,0,,0,,0.5,,7,,3,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,14.8,,3.3,0.4,0,94,15.8,13.8,1014.5,1022.9,0,0.3,0.08,0.68,,,10,3,StNs,2,464,,1901,15.6,,,,
9,10,2024-11-01T09:00:00.000,6.6,,7.3,,368,,19.9,,8.6,,3.7,,5.5,,2.6,,0,,0.5,,13.9,,7.5,,1.2,,0,,0,,0.5,,7,,2,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,156,14.6,2.1,5.4,1.9,50,95,15.8,13.8,1013.8,1022.2,0,0,0.12,0.37,,,10,7,StNs,7,244,,1901,15.9,,,,
